particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Bank Modification Charges,2024-01-29,NSE-EQ - Z,Journal Entry,29.500000,0.000000,10842.955799
Net obligation for Equity F&O,2024-01-29,NSE-F&O - Z,Book Voucher,1409.480830,0.000000,9433.474969
Net settlement for Equity with settlement number: 2024020,2024-01-29,NSE-EQ - Z,Book Voucher,0.000000,10992.540227,20426.015196
Net obligation for Equity F&O,2024-01-30,NSE-F&O - Z,Book Voucher,18508.763228,0.000000,1917.251968
DP Charges for Sale of UNITECH on 31/01/2024,2024-01-31,NSE-EQ - Z,Journal Entry,15.930000,0.000000,1901.321968
Net settlement for Equity with settlement number: 2024022,2024-01-31,NSE-EQ - Z,Book Voucher,0.000000,7043.899955,8945.221923
Net obligation for Equity F&O,2024-01-31,NSE-F&O - Z,Book Voucher,0.000000,89.721413,9034.943336
Net obligation for Equity F&O,2024-02-05,NSE-F&O - Z,Book Voucher,0.000000,1841.666865,10876.610201
Payout of 2000.0/- to ICICI BANK LTD 428101504234 A/C number as per withdrawal request made on 2024-02-05 with reference number bb165bffc8,2024-02-05,NSE-EQ - Z,Bank Payments,2000.000000,0.000000,8876.610201
Net obligation for Equity F&O,2024-02-06,NSE-F&O - Z,Book Voucher,0.000000,12063.183284,20939.793485
Payout of 8500.0/- to ICICI BANK LTD 428101504234 A/C number as per withdrawal request made on 2024-02-06 with reference number 6473ea5f39,2024-02-06,NSE-EQ - Z,Bank Payments,8500.000000,0.000000,12439.793485
Funds added using UPI from EW1120 with reference number 440492344395    ,2024-02-07,NSE-EQ - Z,Bank Receipts,0.000000,10000.000000,22439.793485
Net obligation for Equity F&O,2024-02-07,NSE-F&O - Z,Book Voucher,7457.770070,0.000000,14982.023415
DP Charges for Sale of HINDPETRO on 08/02/2024,2024-02-08,NSE-EQ - Z,Journal Entry,15.930000,0.000000,14966.093415
Net settlement for Equity with settlement number: 2024028,2024-02-08,NSE-EQ - Z,Book Voucher,0.000000,6067.091318,21033.184733
Payout of 14966.09/- to ICICI BANK LTD 428101504234 A/C number as per withdrawal request made on 2024-02-08 with reference number 983a1af694,2024-02-08,NSE-EQ - Z,Bank Payments,14966.090000,0.000000,6067.094733
Net settlement for Equity with settlement number: 2024032,2024-02-14,NSE-EQ - Z,Book Voucher,6022.170675,0.000000,44.924058
Funds transferred back as part of quarterly settlement (inactive)  with reference number ee4daed2ab8b0006e4aab8,2024-03-15,NSE-EQ - Z,Bank Payments,44.920000,0.000000,0.004058
AMC for Demat Account for 03-11-2023 to 01-02-2024,2024-03-31,NSE-EQ - Z,Journal Entry,29.500000,0.000000,-29.495942
Closing Balance,,,,,,-29.495942
